project,file,line,uselib,libraries
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cx/controllers/logic/base.go,608,true,"github.com/eaciit/acl/v2.0, github.com/eaciit/dbox, github.com/eaciit/knot/knot.v1, github.com/eaciit/orm, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cx/controllers/logic/dashboard.go,19,true,"github.com/eaciit/knot/knot.v1"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cx/controllers/logic/error.go,16,true,"github.com/eaciit/knot/knot.v1"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cx/controllers/logic/globalsearch.go,32,true,"github.com/eaciit/knot/knot.v1"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cx/controllers/logic/init.go,16,true,"github.com/eaciit/knot/knot.v1"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cx/controllers/logic/login.go,54,true,"github.com/eaciit/knot/knot.v1, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cx/controllers/logic/page.go,428,true,"github.com/eaciit/knot/knot.v1, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cx/controllers/logic/upload.go,37,false,""
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cx/controllers/query/q_master.go,257,true,"github.com/eaciit/dbox, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cx/controllers/query/q_meeting.go,1015,true,"github.com/eaciit/dbox, github.com/eaciit/orm, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cx/controllers/struct/global.go,173,false,""
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cx/main.go,156,true,"github.com/eaciit/knot/knot.v1, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cx/models/access_menu.go,44,true,"github.com/eaciit/acl/v1.0, github.com/eaciit/orm/v1, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cx/models/application.go,33,true,"github.com/eaciit/orm"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cx/models/group.go,44,true,"github.com/eaciit/acl/v1.0, github.com/eaciit/orm/v1, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cx/models/logapp.go,48,true,"github.com/eaciit/orm/v1"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cx/models/master.go,75,false,""
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cx/models/meeting.go,306,true,"github.com/eaciit/orm"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cx/models/sysmenu_m.go,32,true,"github.com/eaciit/orm"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cx/models/sysroles_m.go,47,true,"github.com/eaciit/orm"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cx/models/sysusers_m.go,36,true,"github.com/eaciit/orm"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cx/models/user.go,44,true,"github.com/eaciit/acl/v1.0, github.com/eaciit/orm/v1, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/cx/webext/init.go,137,true,"github.com/eaciit/acl/v2.0, github.com/eaciit/knot/knot.v1, github.com/eaciit/orm, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/gpd/controllers/facade/facade.go,38,true,"github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/gpd/controllers/logic/base.go,556,true,"github.com/eaciit/acl/v2.0, github.com/eaciit/dbox, github.com/eaciit/knot/knot.v1, github.com/eaciit/orm, github.com/eaciit/toolkit"
